id	nm	lat	lon	countryCode
1806651	Huoqiu Chengguanzhen	32.354729	116.293900	CN
1806696	Humen	22.818979	113.673058	CN
1806840	Huilong	31.811110	121.654999	CN
1806881	Huicheng	23.038450	116.289879	CN
1806882	Xinhui	22.455999	113.048203	CN
1806960	Huazhou	21.633329	110.583328	CN
1807112	Huangzhou	30.450001	114.800003	CN
1807143	Huangyan	28.647779	121.259438	CN
1807234	Huangshi	30.204170	115.077606	CN
1807301	Dasha	23.109980	113.444366	CN
1807308	Huangpi	30.884529	114.377892	CN
1807339	Huangmei	30.192350	116.024963	CN
1807508	Huanggang	23.677040	116.999611	CN
1807553	Huangchuan	32.127220	115.039436	CN
1807645	Huaiyuan Chengguanzhen	32.958931	117.165657	CN
1807687	Huaicheng	23.905130	112.193138	CN
1807695	Huaidian	33.433331	115.033333	CN
1808106	Hongjiang	27.110001	109.995560	CN
1808212	Hechuan	29.994720	106.257217	CN
1808336	Hepo	23.430771	115.829910	CN
1808744	Hede	33.768059	120.251671	CN
1808747	Hecun	36.533329	114.111107	CN
1808872	Chengyang	27.089170	119.645279	CN
1808879	Hanting	36.770828	119.210831	CN
1808926	Hangzhou	30.293650	120.161423	CN
1808931	Hangu	39.248890	117.789169	CN
1808963	Handan	36.600559	114.467781	CN
1808977	Hanchuan	30.650000	113.766670	CN
1808981	Hancheng	35.460281	110.429169	CN
1809003	Haizhou	34.581669	119.128891	CN
1809061	Jiaojiang	28.680281	121.442780	CN
1809062	Haimen	23.193489	116.614220	CN
1809077	Haikou	24.779850	102.575478	CN
1809159	Guye	39.733330	118.416672	CN
1809412	Guli	28.883329	120.033333	CN
1809483	Guiren	33.669720	118.188889	CN
1809486	Guiping	23.392500	110.081390	CN
1809610	Gucheng Chengguanzhen	32.266041	111.634758	CN
1809879	Guangshui	31.619900	113.997803	CN
1810240	Xicheng	23.306021	103.163513	CN
1810295	Gaozhou	21.939240	110.846069	CN
1810309	Gaoyou	32.785831	119.427780	CN
1810437	Gaoping	30.775761	106.102943	CN
1810458	Gaomi	36.383331	119.752777	CN
1810553	Gaogou	34.017502	119.188606	CN
1810846	Fuyang	30.053329	119.951942	CN
1810920	Fushan	37.495831	121.258057	CN
1810979	Fuling	29.702221	107.391937	CN
1811103	Foshan	23.026770	113.131477	CN
1811114	Fenyi	27.811171	114.668053	CN
1811200	Fengxian	34.703880	116.587173	CN
1811260	Fengrun	39.833328	118.116669	CN
1811305	Fengkou	30.083330	113.266670	CN
1811440	Feicheng	35.260559	117.967499	CN
1811619	Ezhou	30.400000	114.833328	CN
1811729	Encheng	22.183889	112.302597	CN
1811764	Duyun	26.266670	107.516670	CN
1811829	Duobao	30.670000	112.689522	CN
1811929	Ducheng	23.237289	111.531723	CN
1812057	Xinyi	22.373030	110.947456	CN
1812228	Dongtai	32.852310	120.309471	CN
1812256	Dongsheng	39.816078	109.977631	CN
1812427	Dongkan	33.999722	119.830833	CN
1812521	Donghai	22.945940	115.642036	CN
1812597	Dongdu	35.849998	117.699997	CN
1812621	Dongcun	36.776669	121.159721	CN
1812728	Dingzhou	38.513062	114.995560	CN
1812754	Dingtao	35.068329	115.562500	CN
1812961	Deyang	31.130190	104.381981	CN
1812981	Deqing	30.544849	119.959900	CN
1812988	Penglai	37.808609	120.750832	CN
1812990	Dengzhou	32.682220	112.081940	CN
1813016	Dengfeng	34.455280	113.028061	CN
1813088	Dazhong	33.199730	120.457802	CN
1813171	Zhangjiajie	29.129440	110.478333	CN
1813206	Daye	30.083330	114.949997	CN
1813253	Dayan	26.868790	100.220718	CN
1813325	Dazhou	31.215919	107.500923	CN
1813451	Datong	32.620819	117.063179	CN
1813658	Fenghua	29.656281	121.406403	CN
1813775	Huaxian	35.563889	114.505829	CN
1813812	Danshui	22.798401	114.467163	CN
1813828	Danjiangkou	32.542782	111.508614	CN
1813851	Gushu	31.559780	118.482887	CN
1813892	Dancheng	33.633331	115.183327	CN
1814082	Daliang	22.850420	113.247009	CN
1814786	Yangchun	22.166670	111.783333	CN
1814870	Yiwu	29.315060	120.076759	CN
1814919	Chonglong	29.780621	104.852242	CN
1815184	Chengyang	35.579441	118.832779	CN
1815251	Chengjiang	31.928249	120.312569	CN
1815302	Chenghua	23.461321	116.770073	CN
1815463	Changzhi	35.208889	111.738609	CN
1815577	Changsha	28.200001	112.966667	CN
1815585	Changqing	36.557499	116.727219	CN
1815667	Changleng	28.700001	115.816673	CN
1816026	Caohe	30.229700	115.433456	CN
1816028	Weining	26.850000	104.233330	CN
1816176	Caidian	30.583330	114.033333	CN
1816221	Buhe	30.287571	112.229790	CN
1816256	Botou	38.066669	116.566673	CN
1816265	Boshan	36.483330	117.833328	CN
1816338	Luxu	23.223780	108.802162	CN
1816406	Bianzhuang	34.848610	118.044724	CN
1816751	Beidao	34.568611	105.893333	CN
1816753	Beidaihehaibin	39.822220	119.518059	CN
1816790	Beibei	29.825560	106.433891	CN
1816890	Baoying	33.229172	119.309174	CN
1816924	Langzhong	31.550369	105.993813	CN
1817701	Baihe	22.150000	107.233330	CN
1817720	Shangyu	30.015560	120.871109	CN
1817858	Babu	24.416670	111.516670	CN
1817952	Anxiang	29.400000	112.150002	CN
1817990	Anqiu	36.434170	119.192497	CN
1818004	Mabai	23.012791	104.450813	CN
1818016	Anlu	31.257500	113.678329	CN
1818051	Anjiang	27.319441	110.103058	CN
1818116	Anbu	23.448950	116.680923	CN
1885823	Jiangyou	31.766670	104.716667	CN
1886762	Zhoushan	30.010750	122.204651	CN
1898359	Mudu	31.251961	120.511787	CN
1898494	Songling	31.193300	120.717583	CN
1919014	Lianghu	29.991520	120.898453	CN
1920772	Zhoucheng	35.912220	116.311668	CN
1921372	Dalianwan	39.028610	121.695000	CN
1927639	Yueyang	29.333330	113.091942	CN
1929434	Bojia	26.467220	111.968063	CN
2033128	Zhenlai	45.849548	123.297302	CN
2033135	Zhengjiatun	43.506390	123.506393	CN
2033149	Zhaoyuan	45.500000	125.133331	CN
2033168	Zhaodong	46.083328	125.983330	CN
2033225	Zalantun	48.000000	122.716667	CN
2033242	Yushu	44.799999	126.533333	CN
2033301	Youhao	47.866669	128.833328	CN
2033370	Yingkou	40.664822	122.228333	CN
2033403	Yilan	46.316669	129.566666	CN
2033423	Yebaishou	41.397499	119.640831	CN
2033449	Yantongshan	43.291939	126.009438	CN
2033467	Yanji	42.907501	129.507782	CN
2033574	Xuanhua	40.610279	115.044724	CN
2033602	Xiuyan	40.292782	123.274437	CN
